Timestamp,Side,Entry,Spread,Velocity,Tick_1,Tick_2,Tick_3,Tick_4,Tick_5
1764362808.3264909,UP,0.45,0.01,997.9521434094663,0.45,0.45,0.45,0.45,0.45
1764369069.948029,UP,0.67,0.01,131.7,0.68,0.68,0.68,0.68,0.68
1764369099.424993,UP,0.67,0.01,173.8,0.67,0.67,0.67,0.67,0.67
1764369129.816531,UP,0.64,0.01,125.3,0.68,0.68,0.68,0.68,0.68
1764369178.927796,UP,0.68,0.01,111.7,0.7,0.7,0.7,0.7,0.72
1764369310.7753415,UP,0.86,0.02,263.3,0.88,0.88,0.88,0.88,0.88
1764369318.6823301,UP,0.88,0.01,52.0,0.89,0.89,0.89,0.89,0.89
1764369360.9690368,UP,0.86,0.01,60.0,0.87,0.88,0.88,0.88,0.88
1764369376.1964402,UP,0.9,0.01,52.7,0.9,0.9,0.9,0.9,0.9
1764369402.6706808,DOWN,0.11,0.01,-90.6,0.12,0.12,0.15,0.15,0.15
1764369985.5072532,DOWN,0.49,0.01,-70.1,0.49,0.5,0.5,0.5,0.5
1764370045.0017474,UP,0.65,0.02,73.7,0.64,0.64,0.65,0.65,0.65
1764370196.4784245,UP,0.65,0.01,228.0,0.66,0.66,0.66,0.65,0.65
1764370237.3691509,UP,0.67,0.01,62.3,0.67,0.67,0.67,0.67,0.67
1764370321.9532356,UP,0.66,0.01,128.0,0.8,0.81,0.82,0.87,0.88
1764370505.9795609,DOWN,0.15,0.02,-734.4,0.17,0.17,0.17,0.17,0.17
1764370846.7383845,UP,0.59,0.02,66.2,0.58,0.59,0.59,0.59,0.59
1764370951.7564657,UP,0.68,0.02,206.5,0.67,0.67,0.68,0.68,0.72
1764370963.7978387,UP,0.85,0.02,58.8,0.82,0.82,0.82,0.74,0.74
1764370974.4599535,DOWN,0.26,0.01,-163.3,0.29,0.28,0.28,0.28,0.28
1764370979.4768333,DOWN,0.29,0.01,-88.0,0.29,0.29,0.29,0.29,0.29
1764371074.1295614,UP,0.74,0.01,209.4,0.74,0.74,0.74,0.74,0.74
1764371083.1579835,UP,0.81,0.01,109.1,0.78,0.77,0.77,0.77,0.78
1764408915.4373388,DOWN,0.47,0.02,-94.9,0.52,0.53,0.57,0.57,0.58
1764409136.0718026,UP,0.83,0.01,68.2,0.83,0.83,0.83,0.83,0.83
1764409165.1230488,DOWN,0.15,0.01,-56.7,0.15,0.15,0.2,0.2,0.22
1764409208.9703248,DOWN,0.34,0.01,-132.9,0.34,0.34,0.34,0.34,0.34
1764513935.9042861,UP,0.55,0.01,50.7,0.55,0.55,0.55,0.55,0.55
1764514087.3056657,UP,0.79,0.01,79.3,0.77,0.77,0.77,0.76,0.76
1764514186.5633202,UP,0.79,0.01,7430.7,0.79,0.79,0.79,0.79,0.79
1764514195.8589096,DOWN,0.19,0.02,-79.6,0.19,0.19,0.19,0.19,0.19
1764514257.593652,UP,0.77,0.01,118.8,0.77,0.77,0.77,0.77,0.77
1764514410.8049579,UP,0.74,0.01,870.4,0.75,0.75,0.75,0.75,0.75
1764605708.4309707,DOWN,0.48,0.01,-52.5,0.47,0.47,0.46,0.47,0.47
1764605713.865877,DOWN,0.47,0.01,-58.8,0.48,0.48,0.48,0.48,0.48
1764605719.338023,UP,0.51,0.01,59.9,0.53,0.53,0.53,0.53,0.53
1764605730.3931775,DOWN,0.5,0.01,-182.4,0.51,0.51,0.51,0.51,0.51
